pruning Threshold,Gamma,Delta,Lapse Rate,PassCoeff,Weight0,Weight1,Weight2,Weight3
10,0.001,0.21777,0.01484,0.37915,1.0401,0.81439,1.1834,7.0489,12.495
8.8241,0.001,0.25411,0.01859,0.87197,1.3373,0.79977,0.20482,5.0582,166.42
3.6813,0.00386,0.18132,0.01667,0.49992,0.37579,0.82035,1.6979,9.2839,37.029
2.5167,0.001,0.04292,0.01,0.48881,0.4,1.1004,0.53554,3.3333,180
10,0.00234,0.1431,0.02342,0.57818,1.0232,1.248,0.49869,2.9341,13.016
2.0286,0.00472,0.10693,0.01998,0.49973,1.7157,0.99854,0.49959,5.8252,19.988
3.8326,0.005,0.21292,0.02,1,0.8,0.8,0.43148,5,30
5.2777,0.001,0.16667,0.01,0.5,0.4,1.2428,1e-05,3.5,9.9999
1.55,0.005,0.2,0.02,0.5,0.80001,1.0773,0.4,5.6854,26.667
5.8515,0.001,0.16366,0.01758,0.99211,0.6379,0.8756,0.39413,2.4842,8.1922
7.0004,0.001,0.20004,0.03,1.0001,0.92665,0.7999,0.29993,2.4998,14.999
2.4215,0.001,0.20338,0.01193,0.46311,0.28359,1.0488,0.32555,7.2532,41.182
8.8745,0.00409,0.10285,0.01857,0.33597,0.76088,1.0912,0.49594,4.7122,6.5872
4.2075,0.001,0.10488,0.01,0.95498,0.93575,0.99031,0.31963,2.9214,13.342
3.0034,0.001,0.09843,0.01508,0.68014,0.79292,1.0878,0.67256,3.3196,15.063
3.2942,0.00612,0,0.01,1,0.4,1,0.3,3.5,15
4.1833,0.001,0.10308,0.01,0.51509,0.19629,1.1711,0.42075,3.5,30
3.1039,0.001,0.08313,0.01,1,0.68253,0.87067,0.3,3.5,15
10,0.001,0.2,0.02369,1,0.8,0.75151,0.3,2.5,20
4.5213,0.001,0.10442,0.01,0.77109,0.57201,1.4297,0.28827,3.4503,15.027
3.3333,0.001,0.08488,0.0118,0.57283,0.4,0.99336,0.22673,3.7757,20.573
6.702,0.001,0.13854,0.01554,0.37787,1.0427,1.2433,0.38841,3.2412,17.445
2.7719,0.00354,0.06867,0.02464,0.45602,0.79673,0.89815,0.67522,9.2917,26.569
8.4314,0.00154,0.10898,0.01,1.5189,2.089,0.54645,0.6855,2.8403,12.746
2.7161,0.001,0.0943,0.01,0.68672,1.1987,0.77599,0.6765,3.3635,10.211
1.1088,0.00803,0.18777,0.02041,0.45864,0.48317,1.4443,0.18025,6.72,114.23
3,0.001,0.06312,0.015,0.5,0.56684,0.68201,0.5,3.0291,15
2.55,0.001,0.1,0.016,0.25,0.8,1,0.1087,3.5,15
6,0.00233,0.16667,0.01,1,1.1353,0.99999,0.3,3.5,30
3.1374,0.0014,0.16667,0.02,0.5184,1.1939,1.4358,0.3,3.3333,15
9.4577,0.001,0.21216,0.0111,1.5027,1.1136,1.0062,0.59596,1.7009,7.452
8.8423,0.001,0.06796,0.02961,1.0085,1.1032,0.99027,0.30632,2.8508,14.922
3.0102,0.001,1e-05,0.01171,0.6468,0.70588,0.88889,0.5,7,20
10,0.00123,0.21466,0.01,0.64173,1.0402,1.1997,0.24329,3.6834,13.14
7.2222,0.001,0.13093,0.0125,1,0.8,1,0.4,2.5,15
3.0587,0.001,0.16667,0.01833,0.34286,0.69115,0.91667,0.24583,3.9552,14.333
5.0004,0.001,0.24996,0.01757,1.0001,0.80003,0.99988,0.29992,3.3336,14.999
6,0.001,0.03958,0.01083,0.5,0.62456,0.59038,0.36404,4.0774,10
6,0.001,0.03958,0.01083,0.5,0.62456,0.59038,0.36404,4.0774,10
6.911,0.001,0.19061,0.01529,0.86824,0.86455,1.0204,0.29118,3.4047,14.864
6.911,0.001,0.19061,0.01529,0.86824,0.86455,1.0204,0.29118,3.4047,14.864
4.4192,0.001,0.28786,0.02849,0.30052,0.62864,1,0.3,3.5,15
2.5167,0.001,0.01354,0.01703,0.7013,1.1266,0.98271,0.6,5,30
8.018,0.001,0.04954,0.01684,1.1151,0.7959,1.0003,0.39704,2.5653,14.964
8.018,0.001,0.04954,0.01684,1.1151,0.7959,1.0003,0.39704,2.5653,14.964
10,0.001,0.26573,0.03263,0.89275,0.66674,0.99245,0.50682,3.6051,16.315
10,0.001,0.26573,0.03263,0.89275,0.66674,0.99245,0.50682,3.6051,16.315
10,0.001,0.26573,0.03263,0.89275,0.66674,0.99245,0.50682,3.6051,16.315
8.1547,0.001,0.06352,0.01833,0.78125,0.35833,0.80434,0.5625,3.742,28
9.7251,0.001,0.19475,0.02101,0.99762,0.81682,0.82726,0.24531,2.546,15.234
2.1173,0.00193,0.25071,0.01095,0.42545,0.3926,1.4527,0.59423,4.2078,26.379
3.4328,0.00194,0.05926,0.01982,0.5,0.8,1.3333,1.35,5.3704,28.432
4.0965,0.001,0.09815,0.02333,0.5,0.8,1.2419,0.3,3.5,13.12
5.4515,0.001,0.1,0.01409,0.82176,0.57429,0.79747,0.3,3.7192,12.706
7,0.001,0.1,0.02,0.5,0.8,0.8,0.19862,6.1239,20
7.9702,0.0013,0.07253,0.0231,0.49586,0.39533,0.80598,0.46224,5.1933,10.081
7.9702,0.0013,0.07253,0.0231,0.49586,0.39533,0.80598,0.46224,5.1933,10.081
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
6.9039,0.001,0.2,0.02,0.62499,0.48963,1,0.3,5,15
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
7,0.001,0.12994,0.02,0.94787,0.71338,1,-0.26226,3.8932,15
